id,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr,attr9,Class
6f3019d6-6edf-45c4-acb7-95249c3187e4,45,-1,87,-2,44,-4,43,43,0,0
dfa7e880-8735-4298-b61d-b3a44fbdde66,37,4,80,0,-2,0,43,83,40,0
9fdc3889-2add-4214-8e48-4224ef70213f,55,0,86,8,54,0,31,32,0,0
7e989bb3-5b06-47df-ac12-8560706c38d0,55,3,88,3,54,0,32,33,2,0
55d7c8ec-cb41-4d4f-af56-2ab901c4e4f4,37,0,74,0,26,-1,38,48,10,0
56d7b632-25d5-408f-a5ab-5387c98bd687,37,0,106,0,36,3,68,69,2,0
40fd2707-bae3-49cc-858b-b52482d5957b,49,0,107,0,46,-16,58,60,2,0
5a09d26d-0ce7-4dd1-8d9c-f5f1b27a7f44,79,5,83,0,-46,0,4,130,126,1
82bdec83-4687-411c-aa90-c3ad65e2ff0c,51,0,79,0,52,29,28,27,0,0
b326fc0d-2c47-49a7-ad46-c4301039975a,59,4,84,0,60,24,25,24,0,0
eab1c256-b9cf-4543-ba4c-72470d4ef32d,37,0,108,0,30,-21,71,77,6,0
8fb5d470-1880-4872-ba98-f3d1d7ae2eae,39,5,77,0,38,0,37,38,0,0
0e03eb7d-f3a5-4730-b00b-181a2d531989,51,-5,81,0,52,0,30,30,0,0
8749afd2-1099-47f4-b930-efc6319a582e,49,0,77,0,46,-9,29,31,2,0
e080bcf1-3e62-4679-bdc2-ecb5634389f8,46,2,77,0,44,-19,32,34,2,0
eff49c10-e74b-477e-8d35-2519aa0f96ee,56,0,81,0,56,0,24,24,0,0
b7de202c-8aa2-4d3b-8d60-a1a3866ff9b6,37,0,105,0,34,4,68,71,4,0
68beacd9-130b-4aaa-be9e-d2c728b7f0bb,76,0,81,-2,-40,13,5,122,118,1
3f59dda9-0b7f-4217-85f4-687f2bb7ed10,56,0,80,0,56,7,24,23,0,0
96866fda-ebf6-4306-b9f2-23eb4713ab29,41,2,76,0,42,11,35,35,0,0
162379dc-67fa-4ed1-87a6-7d4c913d7287,41,1,85,0,38,0,44,46,2,0
73240468-27a2-49ab-9ec8-51579ec08011,49,0,95,1,50,2,46,46,0,0
1903a7ea-14c6-4b60-939a-e393072747f5,37,2,76,0,36,0,38,39,2,0
23cffc28-1ac1-4662-9db7-c61a32c6513b,56,-4,88,0,56,0,31,31,0,0
c92cfc1a-7af1-414d-b62d-3320a80bf873,37,-3,81,-2,38,-9,43,42,0,0
24e6e510-a214-41f2-a022-66cea071793b,47,0,84,4,46,0,38,38,0,0
14b57534-2f07-4a6d-ad92-e35ef4866e84,41,1,86,2,42,14,45,45,0,0
bb2bc101-aaf1-4e37-977b-4e6a91e145ed,53,3,81,0,54,0,27,26,0,0
00cdc506-aa5b-4191-8e13-e45d7df56bd2,47,5,79,0,46,0,32,32,0,0
fac3d351-82f7-4f13-92e8-a003d94a9601,104,7,105,7,70,0,1,35,34,1
4e218ffa-ad5f-4ea9-bb4c-f759629428f4,101,-3,102,-4,72,0,1,29,28,1
7ab2646d-4176-457f-8f60-4346cad456b8,45,0,86,0,44,-17,41,42,2,0
8e18246f-2256-48c5-858b-4d83c0d7ec27,42,4,77,0,42,1,35,35,0,0
6af42311-35bd-4980-8e1a-6c164e797de0,45,0,79,0,44,-4,34,35,2,0
4eb844ff-ead9-41cf-9270-8f6dc04828ef,37,0,80,0,36,15,43,44,2,0
35865be9-6b0e-44d1-8f95-9c607d195632,42,0,83,2,42,0,41,42,2,0
2107bd13-a3ce-4e16-8d40-37a07334b80f,51,1,88,0,52,7,37,37,0,0
535f5b04-955a-4915-8915-3effcb918bc0,49,3,82,0,46,-8,33,35,2,0
82c1553e-628e-45cf-8172-479870ba3f81,41,1,86,3,42,6,45,45,0,0
f928f7ae-1f7e-4552-91d8-3385093e2433,37,0,77,0,336,4910,41,-258,-298,0
608b2a9d-a8fb-4629-85be-1ed1f578b748,49,0,84,0,46,-4,36,38,2,0
9b2a9f2a-d961-4e7b-9bae-554cfbafd255,37,-1,77,-3,34,-6,40,43,2,0
4c5f97e7-161e-4abc-9e79-72fd24542723,41,0,79,0,38,-23,38,41,2,0
6a125246-b8fd-42a9-8798-a0d4fe15a204,51,0,79,0,52,2,27,27,0,0
90238b7b-fa9a-4f00-9910-b1fd6e71ee8a,41,0,77,0,42,5,37,36,0,0
1e9255ae-0672-40d2-86d8-592a00492082,46,-3,80,0,46,0,34,34,0,0
ed411a58-94cf-429c-bbd1-c74a9a975193,44,0,82,-1,44,0,38,38,0,0
0b5d2ec0-8a1a-40ec-b8d2-4d92b81bcb03,45,0,83,0,46,31,37,36,0,0
c6785481-9bfd-4127-ba27-83bd13a020eb,37,0,77,-1,36,4,40,41,0,0
13523648-77b1-4375-8e0c-c93d2e869b5c,37,0,75,-1,36,0,38,39,0,0
782f1d49-2754-4f20-a35f-0329311874ad,37,1,77,-2,34,0,40,43,2,0
4592053e-1f20-4b97-a214-7437dc3a161d,51,0,79,0,50,-6,28,30,2,0
4266b335-9798-4a4a-95e7-307ad23c5045,46,-4,76,-1,46,0,29,29,0,0
67cd5e1c-0e6a-4ef6-9ef9-ede8aee701cf,49,0,77,5,50,5,28,28,0,0
4c6f8b9a-c833-462f-a137-f5f5cff81519,45,0,108,0,44,-3,62,64,2,0
6954224f-4ae4-4c89-8421-e311af7b2582,42,0,79,-2,42,0,36,37,2,0
7fe02b41-9aac-4e16-b0cd-6435ac86e2f4,37,0,78,0,20,-10,41,57,16,0
616cb7a6-a45e-40f7-965f-91f3dabc0297,37,0,76,-3,36,-10,39,40,2,0
59fdac8c-e70e-4f37-ad84-594799fb0149,53,5,84,0,52,-5,31,32,2,0
f13f7a8d-e0e1-49fa-bcd8-3ca65fe129b8,38,4,76,0,38,4,38,37,0,0
77866e95-8738-4eaf-badf-4868f3980527,40,0,80,0,38,-2,40,41,2,0
eea00bed-8f12-4a8a-9686-e99c80ef64e0,47,2,95,3,46,0,48,49,0,0
ef7cd9fe-8d07-4b65-b308-14ca1e094a4f,45,0,79,5,44,0,34,35,2,0
9c8e115c-fdb0-4f26-81d4-1ec8009bf985,41,-1,86,0,42,0,45,45,0,0
65e4f067-177f-463d-bb51-b58dcbae209f,56,0,95,0,56,15,40,39,0,0
ff92e3a8-717b-4fc8-9258-496d4ddefee9,51,-3,83,0,50,-14,32,33,2,0
7c49ef11-10c4-4540-ae22-025591306a1a,37,0,75,0,34,10,38,41,2,0
ab385d6d-1603-4a6e-8cc4-bfadd9d5f67b,37,0,75,0,28,16,38,46,8,0
f18e9627-2ce2-469a-b21a-b7783a5bc744,81,-2,84,0,-18,-30,4,103,98,1
838c63a0-c06b-47f8-9f6a-a90046a03144,43,0,95,-4,42,-4,52,54,2,0
328d60be-fa9a-43dd-8ebb-377ebd65653c,41,0,84,2,42,25,43,43,0,0
0a5cafe4-f37f-4818-b86b-c6ca10f9b06d,49,0,87,-7,46,-25,38,41,2,0
2ebfa79f-d8c8-432d-aa33-e8e11b340ed6,49,0,83,0,46,-14,34,37,2,0
106649a3-258b-493e-9d7f-65dad70eb44a,37,-3,77,0,20,0,40,56,16,0
83955070-c970-43c1-a0ac-dd3eb749a31c,81,0,84,0,-12,29,4,97,94,1
5eafb631-c03b-4fd9-8a37-5a829d7804f4,55,1,84,0,54,-1,29,30,2,0
33dcd31c-681d-44ac-a6fe-9c5f0d27d47d,42,0,81,-2,42,-4,39,39,0,0
8aadc13f-66be-422a-8a20-b6fea41d224a,79,0,83,0,-40,3,4,125,120,1
98418d03-0393-4602-b5a8-b0ab3841d602,59,-5,84,0,60,6,25,24,0,0
00e5eb8b-d268-4ed0-ae7d-9458bd8e8eed,56,-3,87,0,56,0,31,30,0,0
2cfe6214-b8e2-4bd9-afe8-7d378bd2caea,46,0,80,0,46,0,34,34,0,0
7bb4cc2b-6ba4-4f6d-854c-c152a4d75fc9,37,0,83,0,34,7,47,50,2,0
7d73391e-1c10-4f83-9052-582fc4991dc1,37,0,77,0,2,17,40,74,34,0
3cd62181-97cd-405c-bf08-5169e3eea162,53,-1,87,-5,52,-10,34,35,2,0
9fbc984a-8000-4e80-a6a1-57af3ea067b0,37,-1,79,-4,36,-6,42,43,2,0
605ca4a3-4416-462e-879a-d5fe0cb2ded5,44,-1,82,-4,44,0,38,38,0,0
e79c37a3-566a-4618-aa34-955edf85e6d8,48,-3,95,0,46,-4,47,49,2,0
5b7cb819-da6e-495f-8821-d743afd27e26,42,5,79,5,42,0,37,38,0,0
73703d54-c316-4793-ae17-fadd1d2c190f,37,0,106,-1,34,0,68,72,4,0
32046cb1-0687-42e8-a3df-f549ea2a7e1a,37,0,81,5,36,-3,43,44,2,0
a72edbd4-847b-42e8-8589-84f8240816b1,44,-4,82,-3,44,0,38,38,0,0
57a9c1a6-2c91-444b-8f15-d3870769969e,45,0,83,0,46,19,38,37,0,0
e41397bd-507f-47bf-9ed2-5a4604f94525,55,2,83,-2,54,0,28,29,0,0
895fe655-cfc0-4515-84e9-09fc89e04d39,41,3,78,0,38,-1,37,39,2,0
dd56a3d3-17d3-4c06-ae90-ad0959731dea,37,0,78,-5,8,0,41,70,30,0
af2abd1f-73dc-48c7-a86a-2e2ca74ce74c,57,3,91,0,56,0,34,34,0,0
f69b6c67-f512-42a8-b323-efdb02244256,37,0,76,0,38,14,38,37,0,0
7f39016f-6074-4f12-a721-8636d5b31ca6,37,0,77,0,8,-8,41,70,28,0
60a87f36-0bae-48db-87ff-0e472c94b060,37,0,76,-5,28,6,39,47,8,0
41fd4517-5f19-4f00-9c57-73891d933eff,49,4,84,0,50,2,35,35,0,0
9656ddd6-ae9c-48d9-823f-1318ea434561,37,0,77,5,-12,-10,41,90,50,0
5f4fcd36-399b-4b9b-adbc-da4ecaaec3a2,50,-4,85,0,50,0,35,36,2,0
d0b2ccbf-57ec-41f2-93dc-46e1847f8cc7,51,-2,87,0,52,5,36,35,0,0
17a4e35f-3ec3-4cb8-b356-8061d840e1ff,37,0,93,0,12,7,56,81,24,0
392dc39c-419f-4be3-9269-585fa7d02b61,56,0,82,1,54,-12,26,28,2,0
3fa57f49-2467-4078-873e-6235a60de556,43,0,81,3,42,-4,38,40,2,0
1be69d18-dfc1-41b6-bf6d-f2055f41474a,55,-2,108,0,54,-3,52,53,2,0
c501d8c2-f771-4b5a-9f8a-7185c37f01f4,37,0,81,-1,36,-18,43,44,2,0
6ff9fabf-a78c-4d5f-bd7e-1ae9d5734c9e,45,-1,78,-3,44,-5,33,34,2,0
88755d96-7e27-4b3b-a40e-aba667186ce8,41,0,77,7,38,0,36,38,2,0
1a3ad6ea-e1c1-45ac-a540-012ffa3188b9,48,1,87,0,46,0,39,41,2,0
5354d151-f66c-4939-9ed1-d5190fdb7689,43,0,81,0,44,15,37,37,0,0
e4ddc0da-c147-414b-ba06-7a4989b5016e,37,0,92,0,24,3,55,69,14,0
a12670be-319e-4d7b-bc47-62c90087f06d,46,1,83,0,44,-9,37,39,2,0
33f5e1f8-525a-4ed6-8251-16c28646d06f,49,-2,77,3,46,-30,28,30,2,0
f479d3e6-e95a-46e0-b4a3-f69a4a964a37,45,0,83,0,44,2,38,39,0,0
ac83ccf1-cd0b-4c0e-a9bb-b8079bffbeff,48,-3,109,-6,46,0,61,62,2,0
24c2de78-77f4-4a31-a744-d84492cbaf68,37,0,83,0,34,5,46,49,4,0
ff53ce72-a53a-4ff6-b27d-b036996d3bbe,50,-4,83,0,50,0,33,34,2,0
d228ccbd-4560-4d9c-bdce-3cf532d79f70,47,-2,75,0,46,0,28,28,0,0
17a6df51-2a3c-468e-aaea-1f2531da63ef,48,1,81,-1,46,0,33,34,2,0
fb03b7b6-dc48-4539-b569-27c484c922b8,50,3,107,0,50,0,57,58,0,0
13a81a3d-ce10-44fa-9cd1-d999bef5ce0c,38,0,102,-4,34,0,65,69,4,0
cf0fbff2-c606-4c57-a2eb-d193dc81c3d1,37,0,106,17,28,0,69,77,8,0
802c1a6d-9ac6-4bee-a1f2-7a75428f34c7,37,0,77,0,-6,-19,41,85,44,0
da1386a3-2904-4411-ae02-0c9765438228,37,0,79,0,26,-22,42,53,12,0
4c6fff62-88f4-47f9-a848-1c38200f76a6,43,0,84,0,44,13,41,41,0,0
cb55f2d6-237d-4688-aeab-5da4549d3cff,36,-1,81,0,36,0,45,45,0,0
6cd4b080-3a7e-43b6-b43f-a1b93379ba81,45,1,80,0,46,31,35,34,0,0
495c5ac1-2480-4821-85fd-ec3336156a59,58,5,88,0,56,0,30,31,2,0
015e37f5-de69-46dd-8317-ec23668ab055,48,0,88,-4,46,0,40,41,2,0
df64bbac-186b-4014-bf95-da4e1346ee51,105,-1,106,2,70,0,2,36,34,1
64ec0cbe-4117-40d9-82f2-d972b2430a3d,54,-1,86,-1,54,-2,32,32,0,0
675473ed-f9ff-490f-a6d6-b7e4e1f23f64,79,2,83,0,-42,-19,4,126,122,1
cf7c18c2-a1bf-4ae1-a466-e760577857fc,37,0,97,0,24,-30,60,73,14,0
e37b74d2-cea7-40d8-b657-cde06023e2fe,46,-3,109,2,46,0,63,63,0,0
6e9e8662-e8ec-415e-9018-8f3d645a58d9,37,0,78,0,16,-11,42,63,22,0
b7e7e047-f4c5-4b04-a72d-ef6bacec63d1,37,0,78,0,12,-10,41,65,24,0
5efe82cb-70fa-4ef0-bb4a-461a07c5ee90,54,2,80,0,54,0,26,26,0,0
301e3260-7ed1-43f5-bd61-240877ffdd9b,37,0,104,-9,28,0,67,75,8,0
519cfcbb-4ad0-4c05-a2a6-0198a6e24aae,43,-3,86,0,42,-16,42,44,2,0
94380e51-f446-4253-bfa8-5345b38b72d2,41,-1,89,0,38,-14,48,50,2,0
d4054b7d-4292-4d8a-bed1-3b40cc58ab7d,39,0,107,-2,38,0,68,68,0,0
146e2e1e-d88d-4b18-9f7c-bb25b1d44461,46,0,107,0,46,4,61,60,0,0
6fb4b68f-dd9e-4b77-9b83-580dcbec8115,37,4,76,0,34,-10,39,43,4,0
c1e794b4-3e40-407b-9070-fec7e70b2de2,44,1,76,0,44,8,32,32,0,0
44efbca3-1597-4d34-95ac-40d766c52566,53,0,79,0,54,14,26,24,0,0
f4ab447e-1d3c-4968-b771-86b5e33b176a,44,0,81,-1,44,5,37,37,0,0
a0d151ac-d39e-4b24-b0b5-605c9532501b,37,0,75,-2,34,0,38,41,2,0
4c3abd40-76fa-4817-a3d5-ea7ff57d5793,52,4,84,-1,52,-2,31,32,0,0
daba9874-0fe2-4aa9-9c8b-8e39415b9938,80,0,85,6,-40,10,5,126,122,1
4effe0bf-2d48-4745-bd81-ef7f3591aad5,37,0,76,0,36,4,39,40,2,0
186fe529-9483-4cab-a379-6c7276a90250,44,2,75,0,44,11,31,31,0,0
a006bab0-3b2d-4bef-a440-11c5170ec0c8,43,-5,83,0,42,-9,39,41,2,0
b5786e47-fa40-4ab9-9581-9849fd5f9809,41,-1,76,0,38,-24,35,37,2,0
b29815e9-88ac-41b0-852d-73d2d8030526,45,0,86,0,44,-10,41,42,2,0
686c84ce-4dfa-47f5-81c5-1fa374e5b9e5,67,-2,110,0,68,0,43,43,0,0
4e443200-b1f2-4df7-a23b-0fc11dd2b492,37,-67,106,0,36,31,69,69,0,0
0268c5c8-160c-453e-b29f-db37e5afc52d,56,0,108,0,54,-14,52,53,2,0
345c1ab7-8fdc-4b54-b5d7-638755e1186e,42,0,86,-3,42,0,44,44,0,0
986d6e91-fd7f-45de-9b07-80390eb1e2da,56,0,84,0,54,-19,28,30,2,0
def8a350-87ab-4b23-aae1-d59130f5cf4e,38,2,80,0,38,4,42,41,0,0
ee668f7a-b564-4fb8-be65-c5a81ecf266c,45,0,86,0,44,-3,41,42,2,0
fbe34b9a-1dbf-4668-b92d-f2e63fedacce,44,0,83,-1,44,0,38,39,0,0
350ed629-1b14-4b5d-a896-68c12f5e10a8,45,-2,83,0,44,-7,37,39,2,0
73cd059a-1f2a-4a73-aea2-9faeb4d5e1fd,53,-1,88,0,54,4,35,34,0,0
97117ebd-cc77-46d5-8e6b-326cef0b9d29,51,0,83,0,52,19,31,31,0,0
4a9acc23-798b-4dec-a5ba-b005aeda27e9,41,0,81,0,38,-3,41,43,2,0
282f92c4-ba5e-4b48-b7e9-7187b4745cd0,46,0,88,0,46,0,41,41,0,0
160987f4-d95a-42e7-93cc-3c7550e784c9,43,0,77,0,42,0,34,36,2,0
f1421185-a12c-4209-8e5d-33ccc623e1cf,45,2,76,-3,44,-5,31,32,0,0
cfd31652-4c7d-4a12-8520-acf0004ed77f,41,1,97,0,42,4,55,55,0,0
ebb8061a-c9b5-40b6-a12c-58dcfe519668,37,0,81,2,26,0,44,55,10,0
b818600e-14a5-4a80-8100-9ff0f5b35436,83,0,86,0,-4,0,3,92,88,1
84ec3051-8aa2-499f-8d36-bf0b65bf3973,43,0,87,0,42,-6,44,46,2,0
dc6f9e1b-f52a-499c-8b91-ea26f82e50ab,46,2,78,0,46,9,32,32,0,0
fbeed293-8065-4b07-9871-a1d3f767c205,37,0,79,0,26,-4,42,53,12,0
7d8f4619-c48c-48f6-a445-ae64094baf2d,43,-1,83,0,42,-6,39,41,2,0
59d86a05-734b-4334-9727-6cd13612de9a,37,0,83,1,24,0,46,59,14,0
a322b96a-c389-4a3f-a556-2311a363b5f3,56,3,89,0,56,0,33,32,0,0
be2cc76d-4b9f-4cf0-961c-59d09c6cc56f,37,0,78,0,0,-11,42,78,36,0
3efb5cf5-f8f3-4e00-92ad-fc14a38e4afe,48,1,87,-6,46,-4,39,41,2,0
717eeaa3-0c9f-4004-873c-d3b4e1eaaafe,37,0,90,0,30,9,53,59,6,0
87d7f6eb-873d-4efa-aee3-3a1b6b5f4f8e,51,-3,84,4,52,1,33,32,0,0
96a98df9-1b33-4519-b888-caf6d765436a,37,0,78,0,12,11,41,65,24,0
bbc3faf4-f906-48ac-99d1-f37cb22b6b1b,37,0,97,-6,34,0,59,63,4,0
3572bf60-cf44-4da9-ae38-05d393b2b1fe,45,-1,77,2,44,0,32,33,0,0
aa4615b1-c347-406b-90aa-b0b27c47a7ce,49,0,84,0,50,18,35,35,0,0
71af0598-8e43-4cf5-b598-caef9d099307,53,0,81,4,52,-22,28,29,2,0
3d43bf06-df3c-4212-ba0e-0f6dc20dc364,37,2,90,0,28,0,53,62,8,0
6b8f679c-984c-402e-9b0c-ea2a20bc61af,37,0,77,1,36,0,41,41,0,0
6983dbc0-1ddd-408a-8534-6c2a8431e89e,70,57,82,0,-42,-4,12,126,114,1
05c1f035-e480-4d9d-9424-dc7c371545c3,61,-2,111,0,60,0,50,52,2,0
6d8de300-3a6e-43ad-9727-904149f4886e,59,0,86,0,60,21,28,27,0,0
37d04d79-0ff4-4d35-b090-bb1f51e4634f,49,0,95,3,50,4,46,46,0,0
47cdb603-e5b9-41ea-a487-72ebc62bb322,45,2,86,6,44,0,41,42,2,0
6562ad68-ee2b-4266-a279-1cab7c3e68e4,45,0,79,0,46,6,33,32,0,0
51d51d96-6b86-41c1-9321-1c2db27330c4,55,-3,96,0,54,-3,41,42,2,0
9328c673-92f1-4595-9f5f-0c4da9cf0399,49,0,78,0,50,3,29,29,0,0
5db6fff6-b7fe-41bc-973b-ea634f8805d0,39,3,77,0,38,0,38,38,0,0
b05fdcce-422c-4d22-8a3b-6f631729f3b6,56,0,86,0,56,15,31,30,0,0
736e689b-cd0a-462a-9fb3-2539d26708f2,37,0,81,0,18,-26,44,63,18,0
e2e9b6ee-100c-4d3c-ae0f-834f513a87e4,41,0,82,-2,38,-3,41,43,2,0
30ce4a1a-035b-437b-b4a1-6e8bfe314397,45,-3,88,0,44,0,44,44,0,0
740de11c-786e-44aa-925a-6f3daa96ba2d,37,0,83,0,8,24,46,75,30,0
0502d5b1-a733-4b17-ade1-5546c25360f4,43,0,77,0,42,-8,34,36,2,0
fb031b5b-6682-4cef-b6db-77c932c9aa7b,84,6,89,0,6,-6,5,84,78,1
c87d9b4a-0c75-4f86-a861-ed2934d1819a,37,0,79,-1,6,-23,43,74,32,0
e94f4fbe-e3b9-481b-9868-27e4476d32fa,37,0,81,0,38,7,43,42,0,0
7dc68800-b928-46f7-90af-068aba47c421,43,0,77,0,42,-19,34,35,2,0
20a19942-5000-4a15-812f-0b4742efff48,50,1,78,-2,50,0,28,29,2,0
e42aa15b-07d1-4fee-95c1-77ab88fcefec,39,3,86,0,38,0,48,48,0,0
41fad984-ac6b-4957-a2bd-df3ec645b758,43,0,81,0,42,-10,37,39,2,0
42f1f8ec-c3ea-458f-816c-65038d7ec932,37,0,79,0,36,9,42,43,2,0
db05d78b-0ce5-46b1-972b-cddf51282795,58,-4,91,0,56,0,33,34,0,0
4f848f5b-80a9-49d7-8d0e-d86cd2a8bfdd,45,0,93,2,44,0,49,50,0,0
fdc26801-6b08-45fe-aa2a-24c3d58826e6,38,3,76,0,38,8,38,37,0,0
52528343-b90f-4eb6-b7ee-d8caa35fd4d4,37,0,79,-3,36,-1,41,43,2,0
94ae70fb-1f8c-48fb-a82c-2f41fa8e945e,79,6,83,1,-40,13,4,124,120,1
b246d56a-fa07-47ba-a728-117a7a5db0e9,36,-1,76,0,36,0,39,39,0,0
332ac12d-890d-4bcf-83fb-1c9a21e9b474,85,-3,88,0,2,-25,3,86,82,1
893cdf42-1922-4a62-a314-ea8fba6a3915,37,3,77,0,36,0,41,41,0,0
c225aa5f-90eb-4108-a393-95d769446b4f,37,0,77,0,26,-19,41,52,10,0
bf395711-baf5-471f-a844-0af88b6cd2e7,45,0,79,0,46,14,34,33,0,0
05bebb49-3f20-4db7-95e7-97ec149933e9,43,-5,77,0,44,19,34,33,0,0
aef5e888-a2cc-4bf8-869a-1b64e8a60b6a,41,0,83,2,38,-1,42,44,2,0
dea176ee-371e-4d97-8103-c3b5b0484b3f,43,0,77,10,42,-34,34,36,2,0
7559793e-a444-4e3d-824c-c9940b13763b,37,0,103,0,24,16,66,80,14,0
4bfa88d5-ce04-459a-ad35-5f639b8e565c,50,1,90,3,50,0,39,41,2,0
9fb7d769-18dd-475c-9a4e-cdbdb894315b,45,0,84,8,44,-8,39,41,2,0
56a323ab-29e4-4105-990c-6180a68a2308,48,0,89,4,46,-7,41,42,2,0
876b9ff4-a062-466f-a198-974896d9ce48,85,0,88,-3,6,0,3,83,80,1
5cd2247a-5c94-43f3-95a3-21cd3b37c1c2,47,-2,106,0,46,0,59,60,0,0
4320f3fb-0159-44d6-9644-20c9a91647e6,37,-6,78,0,10,0,42,68,26,0
a54ad9da-1821-4a85-98fe-4ff539ca8ca4,37,-38,106,-104,30,-17,69,75,6,1
eca432c0-e0c8-421d-ae6a-27d8c6dd835a,58,0,91,2,56,0,33,34,2,0
2345db21-c764-4d5b-af1a-14f6655b498d,46,0,78,-7,46,5,32,32,0,0
93064574-44fd-4aa3-b3d4-e60b91c0991e,56,0,82,0,56,10,26,25,0,0
7cd2fcfa-7b5b-43e3-819e-767e5356f573,39,-2,86,0,38,0,46,47,0,0
fb653e61-eb15-4290-a29c-35c61aa78fd8,51,2,81,-5,50,0,30,32,2,0
0bedb563-94c0-47ed-8095-e87043ec418a,37,0,75,0,20,11,38,54,16,0
f237b2e2-9f9c-4380-9160-d8bef9f06175,41,-2,80,0,38,-20,39,41,2,0
e3fa74b5-cd81-432c-9ac9-ccb2d17997f9,53,0,86,0,52,-10,33,34,2,0
c3cc181b-2893-4fb3-9416-b1ed10ce4571,46,2,88,0,46,3,42,41,0,0
4d9c1869-3d73-41f3-a1e7-e821c9bf6b10,37,0,78,0,6,-4,41,73,32,0
07ddc39d-ecad-49f1-8bf8-30eef1d1a4a1,44,0,79,-2,44,0,35,35,0,0
5f35886f-92ce-4143-8eb5-af9737e75126,38,-3,76,0,38,0,38,37,0,0
395e818b-dca3-4255-be5f-72df76554e9b,52,4,91,0,52,0,38,39,0,0
6891e075-126c-42b9-83f3-9653c258c5bf,37,0,93,0,16,4,55,77,22,0
30ee1ffa-aecf-459f-a10a-3242e83e7153,44,4,82,-7,44,1,38,38,0,0
44600721-e17a-404c-9fe7-c73e22887d45,37,0,79,-4,24,0,42,55,14,0
378cb5e3-df79-49c7-83d6-729d3b87d075,46,0,87,-7,46,0,41,41,0,0
81294ec4-f78c-41bc-9f4f-4f2db14bf14a,52,-3,86,0,52,-4,33,34,0,0
d22d6dbf-4663-4a24-ac6a-eb277a84f8dc,41,0,79,0,38,0,39,41,2,0
19b30389-8f01-4a6c-bd2b-1cbfa7bb856c,56,0,80,0,54,-15,24,26,2,0
e79de57c-7ff9-4e28-a474-06949d21c983,82,1,86,0,-6,0,3,94,90,1
820cf2cc-e1c4-4e2e-9f2e-9682ae9ddef3,60,-5,111,0,60,0,50,51,2,0
88602b10-017c-48fd-af59-1f9f4b0697bb,44,1,88,0,44,4,44,44,0,0
3c7f27ef-b512-48fb-8c98-0a853598a752,46,1,87,0,46,7,41,41,0,0
a5143c90-3c89-4c07-afda-c9981dc3a618,52,-3,88,0,52,0,35,36,0,0
16aa6a10-ca8d-43c4-ae06-bafe84a91db1,37,0,78,0,-2,-6,42,81,40,0
4627e13b-a2a6-42fe-89b6-65ec85236fc2,43,0,78,-7,42,0,35,37,2,0
06e21fd6-5f56-4ea2-ae3d-42136949b520,37,0,84,0,18,-25,47,66,18,0
d7293559-de17-4b17-80f4-c3d8af251426,42,-4,85,0,42,0,43,44,2,0
6e6d0628-4f4f-41b3-a9fc-b302d627649c,43,0,79,3,42,0,37,38,2,0
2fd45aec-a542-448c-bc96-f717609a168d,78,-2,82,0,-40,0,4,123,120,1
9b485391-dc8e-4b60-b0b6-de44fe471545,48,0,88,0,46,0,39,41,2,0
c0a55a95-48a8-4280-9f61-d8fae52bec77,55,0,90,0,54,0,36,36,0,0
