id,ia,distance,data,tipo
15ea4399-7db3-4684-8a98-57cdf4d20547,45.06,"[0.2957,0.3392,0.2943,0.4559,0.2113,0.4001,0.3566,0.5245,0.2341,0.4764,0.2604,0.3729,0.5719,0.4487,0.4516,0.486,0.3562,0.2815,0.3337,0.479,0.1868,0.343,0.2242,0.6596,0.2277,0.3658,0.3793,0.371,0.3287,0.4816,0.6216,0.3487,0.5094,0.5162,0.3473,0.5054,0.5655,0.3857,0.5062,0.3989,0.5571,0.5233,0.495,0.9146,0.2838,0.5254,0.4857,0.3747,0.3497,0.7976,0.1467,0.4459,0.6262,0.3055,0.548,0.3527,0.6277,0.5083,0.5997,0.4049,0.4095,0.4519,0.4503,0.2041,0.5751,0.7783,0.4709,0.7578,0.5337,0.5968,0.5353,0.4115,0.3232,0.5636,0.2133,0.2021,0.5172,0.295,0.4917,0.6718,0.8492,0.3383,0.204,0.3281,0.4163,0.5572,0.4713,0.5782,0.5163,0.4052,0.5802,0.4233,0.8049,0.3505,0.4546,0.4653,0.7731,0.8321,0.3243,0.1546]","[0.15634,-0.35518,0.03951,0.64341,-0.37787,1.2055,0.0]",normal
16400a7f-2c04-44f5-b7fd-ee7457817540,58.1,"[0.3839,0.418,0.5981,0.2528,0.4714,0.3394,0.4462,0.3982,0.3136,0.2554,0.5411,0.7416,0.2754,0.5115,0.4379,0.4919,0.6278,0.4908,0.3865,0.573,0.8302,0.511,0.281,0.6374,0.5978,0.6216,0.655,0.8053,0.6841,0.8853,0.8395,0.5916,0.6166,0.7286,0.6651,1.067,0.6494,0.6621,0.551,0.7667,0.6911,0.4489,0.4949,0.9491,0.4925,0.4808,0.5615,0.3037,0.7015,0.6534,0.7102,0.7084,0.615,0.5347,0.7023,0.4403,0.586,0.6249,0.8885,0.8525,0.7246,0.7166,0.5863,0.6197,0.9638,0.6609,0.2253,0.5474,0.6036,0.5471,0.4328,0.7092,0.6056,0.497,0.1782,0.4555,0.4542,0.4524,0.4843,0.6183,0.5132,0.67,0.498,0.5793,0.9391,0.6404,0.5464,0.4767,0.4891,0.5154,0.3942,0.8252,0.7396,0.4514,0.5914,0.7102,0.765,0.6422,0.7967,0.19]","[0.33165,0.016401,0.35508,0.8278,-0.37787,1.0684,0.0]",normal
16cbc22b-cccf-4cd9-b966-d840a766cb3f,91.41,"[0.8948,0.9558,1.0091,0.6453,0.964,0.6877,0.917,1.0054,1.0008,0.9759,0.9582,0.9368,0.9959,0.9302,0.988,1.0038,0.5509,0.9381,0.7821,0.2475,0.2851,0.361,0.5636,0.4549,0.9642,1.1415,0.4519,0.6122,0.5143,0.9284,0.8807,1.0023,0.8859,0.4169,1.0692,1.1794,1.0355,1.0681,1.0551,1.0692,1.072,1.1676,0.9895,1.0762,1.4204,1.1412,1.2388,0.9366,0.9986,1.2064,1.1701,0.8625,1.0931,1.071,0.9338,1.115,1.019,0.9815,0.5185,1.1021,0.2335,0.3473,0.9704,1.0263,1.028,1.0249,1.1573,0.9855,0.9278,1.0047,1.0256,0.9721,0.9414,1.3764,0.6665,0.2814,0.3321,0.6174,1.0355,0.8984,0.5756,0.9066,0.9802,1.1246,1.0643,0.8904,0.8937,0.8983,1.0093,1.1518,1.2096,1.1934,0.9584,1.052,1.1522,0.9993,0.9862,0.9992,1.1206,0.9487]","[0.3142,-0.014564,0.03951,0.62611,0.46189,1.1812,0.0]",normal
185c5bb8-6201-44ec-bb98-e4bfb4823727,37.17,"[0.2443,0.3054,0.2216,0.4483,0.1861,0.2778,0.2461,0.276,0.2138,0.354,0.3784,0.1751,0.3262,0.3864,0.3259,0.5209,0.4891,0.3139,0.3453,0.3423,0.2483,0.1884,0.2329,0.4199,0.4715,0.3718,0.5475,0.2399,0.2799,0.4957,0.1967,0.2868,0.2725,0.5717,0.168,0.3305,0.4486,0.42,0.2279,0.2705,0.5639,0.4636,0.527,0.426,0.2987,0.1734,0.2669,0.5672,0.3938,0.3584,0.3515,0.5392,0.4231,0.5191,0.5492,0.253,0.4019,0.6279,0.1185,0.4856,0.4638,0.5015,0.2804,0.3306,0.6573,0.5325,0.3481,0.5505,0.2478,0.3266,0.3904,0.3399,0.4609,0.3469,0.326,0.452,0.5435,0.4027,0.4852,0.2917,0.3322,0.431,0.4278,0.2476,0.5327,0.4703,0.3985,0.5384,0.4581,0.4922,0.2967,0.3996,0.3954,0.2754,0.2275,0.3254,0.4594,0.36,0.2578,0.194]","[0.14397,-0.23132,-0.050653,0.76451,-0.37787,1.3244,0.0]",normal
1cd987d9-79be-4b43-bb89-626e1c251120,108.45,"[1.1524,1.0748,1.2189,1.0929,0.4765,1.1734,1.1404,1.0393,1.2555,1.1417,1.3258,1.157,1.0177,1.2881,1.1674,1.1916,1.157,1.2891,1.101,1.1485,1.0787,1.1983,1.0199,1.1446,1.1099,1.2736,1.2758,1.2465,1.1356,1.1159,0.9123,0.7399,1.0943,1.2799,1.3336,0.3173,1.0475,0.4671,1.1901,1.0378,1.209,1.1446,1.2157,1.1404,1.2699,1.1932,1.168,1.0682,1.3762,1.0385,1.1779,1.2355,1.1225,1.1557,1.1973,1.1465,1.0379,1.0346,1.1479,1.1362,1.1298,1.1903,0.1689,1.0668,1.3639,1.1411,1.2191,1.3018,1.2511,0.5059,1.2339,1.0407,1.2995,1.2969,1.0578,1.0458,1.1327,1.2032,1.2514,1.2426,0.4854,1.2339,1.1529,1.1115,1.2738,0.3123,1.147,1.1156,0.4702,1.0915,1.2298,1.0623,1.1146,0.5325,1.2109,0.6188,1.3143,1.2456,1.2263,0.5122]","[0.26915,-0.29767,-0.41131,1.4552,-0.37787,1.6078,1.0]",normal
1ed24e65-df6d-4c6d-996f-33a359375078,81.49,"[0.5021,0.3952,0.4661,0.6013,0.815,1.345,0.6936,0.8843,0.974,1.2891,0.8555,1.0598,0.8795,0.7899,0.8652,1.2215,1.1202,0.827,1.1528,0.9321,1.4265,1.2219,1.1134,0.6876,0.8677,1.0841,0.8454,1.0588,1.2736,1.2866,1.0167,0.992,0.7526,0.6345,0.6377,0.9029,0.6143,0.7723,0.7174,0.7839,0.66,0.9297,0.9707,0.6223,0.6121,0.8716,0.793,0.7783,0.6385,0.6135,0.7306,0.9293,0.2314,0.9699,1.0527,0.7096,0.8856,0.6323,0.7388,1.1435,0.4444,0.5939,0.5662,0.8441,0.8564,0.7632,0.9337,1.2243,0.6509,0.5951,0.9062,0.8234,0.7017,0.6134,0.4242,0.7792,1.0123,0.633,0.8145,0.8698,0.7816,0.9826,0.7936,0.584,0.7741,0.7183,0.7836,0.5346,0.7933,0.5526,0.7166,0.7591,0.7007,0.7572,0.962,0.4903,0.7548,0.7866,0.6838,0.6558]","[0.1604,-0.023412,0.49033,-0.16334,-0.37787,0.70886,0.0]",normal
206062c6-2f23-48cd-8550-28b87e2fedbd,50.42,"[0.3811,0.3488,0.3442,0.5081,0.6308,0.4956,0.2775,0.5743,0.5118,0.4887,0.3309,0.3285,0.511,0.4616,0.3538,0.5816,0.213,0.4603,0.4464,0.4073,0.4368,0.411,0.6413,0.4197,0.5967,0.2572,0.5411,0.3859,0.3015,0.6624,0.4309,0.4903,0.4806,0.7324,0.4487,0.1894,0.6459,0.5422,0.5511,0.4046,0.5687,0.5046,0.9225,0.6138,0.3905,0.7136,0.2681,0.6617,0.6317,0.6675,0.403,0.7794,0.3234,0.6255,0.5457,0.4469,0.5984,0.61,0.4706,0.5626,0.382,0.4241,0.554,0.767,0.6094,0.8489,0.5182,0.5989,0.512,0.5257,0.6719,0.5293,0.618,0.3451,0.7352,0.491,0.5758,0.7437,0.5754,0.3348,0.6772,0.4832,0.4627,0.417,0.3456,0.4434,0.3831,0.6325,0.7879,0.4372,0.5945,0.5138,0.3302,0.5004,0.3245,0.5164,0.6428,0.5598,0.2651,0.2104]","[0.047933,-0.072071,-0.050653,0.61135,-0.37787,0.80027,0.0]",normal
21927c0b-6aa5-49ef-b0ee-1a3266b40ace,94.97,"[0.8053,0.6599,1.0268,0.8924,1.2401,0.7065,0.7511,0.9113,0.9345,1.3711,0.8767,0.9756,1.0779,0.9508,0.7207,1.0163,0.9145,0.9129,0.7295,0.7899,0.657,0.6073,0.7681,1.0073,0.8533,1.0355,1.1966,0.8455,1.0654,1.0652,0.8917,0.783,1.0259,1.0275,0.7412,1.1907,1.1863,1.1827,0.9817,0.7225,0.8894,1.0394,0.8927,0.5878,0.9177,0.8268,0.9598,1.2393,0.9688,1.1329,1.1323,1.0643,1.0206,0.9672,1.0905,0.9296,1.1785,1.1042,0.9398,1.0466,0.9865,1.226,1.2523,1.1209,1.2004,0.9149,1.1161,0.7647,0.9516,0.8791,1.0596,1.2133,0.7469,0.8201,0.669,0.7634,1.3838,1.1576,0.9177,1.1688,0.7285,0.7412,0.9466,1.3329,1.3518,1.0909,1.1817,1.0732,0.9341,0.7366,0.9361,0.6318,0.498,0.548,0.8921,0.9521,0.5923,0.817,0.8857,0.7558]","[1.0007,-0.34191,-0.1859,0.42949,-0.37787,0.84902,0.0]",normal
24cdd238-4863-4623-8eec-dbd32806526d,40.47,"[0.5885,0.3573,0.365,0.1649,0.475,0.5063,0.2118,0.4442,0.3385,0.3204,0.628,0.4231,0.5143,0.3913,0.5584,0.545,0.3406,0.6325,0.5551,0.4184,0.4283,0.4791,0.3526,0.3477,0.3321,0.1511,0.4448,0.6042,0.3262,0.4566,0.3049,0.2953,0.3819,0.7588,0.1258,0.3413,0.1959,0.494,0.5005,0.5681,0.3437,0.4327,0.6754,0.3041,0.4184,0.5414,0.4872,0.3553,0.3125,0.1796,0.3309,0.5332,0.3603,0.0942,0.4785,0.3605,0.5305,0.4798,0.2849,0.5309,0.3343,0.3607,0.4581,0.1896,0.5246,0.5006,0.5871,0.3941,0.3321,0.3565,0.3482,0.2725,0.1946,0.2652,0.6199,0.3327,0.6251,0.222,0.538,0.2164,0.3994,0.2211,0.3966,0.5952,0.2873,0.2774,0.3708,0.6038,0.1231,0.3674,0.4295,0.4817,0.2969,0.6068,0.5026,0.2676,0.3793,0.6213,0.575,0.2886]","[-0.31218,-0.44808,0.12967,0.94721,-0.37787,0.99224,0.0]",normal
2505be85-90fe-4824-91cd-70770e202d1c,63.0,"[0.5234,0.5359,0.4826,0.664,0.6005,0.4399,0.2306,0.6063,0.5941,0.2976,0.687,0.5528,0.5132,0.4224,0.5038,0.3823,0.5388,0.3917,0.3045,0.4266,0.442,0.5666,0.4237,0.3732,0.6793,0.6364,0.5145,0.5259,0.6568,0.5841,0.6896,0.52,0.4053,0.8528,0.5507,0.8876,0.3134,0.6774,0.2116,0.3118,0.7611,0.4219,0.8769,0.9172,0.52,0.5305,1.0861,1.013,0.5686,0.5007,0.7043,0.5744,0.9844,0.5401,0.4365,0.8857,0.7417,1.0053,0.4661,0.5497,0.6691,0.6773,0.8538,0.7491,0.753,0.9052,0.7201,1.0903,0.8487,1.0508,0.5256,0.8545,0.8653,0.4972,0.9826,0.9188,0.4111,0.6855,0.7636,0.7802,0.4838,0.5736,0.4973,0.6295,0.8045,0.7956,0.6071,0.9313,0.4661,0.6287,0.6771,0.5817,0.8103,0.8093,0.6633,0.59,0.7458,0.4766,0.7467,0.2798]","[-0.3303,-0.44808,0.03951,0.37126,-0.37787,0.49556,0.0]",normal
2728b442-e300-4672-8b8c-41c9308dfe5c,44.46,"[0.2128,0.5406,0.2689,0.509,0.6897,0.3545,0.65,0.3834,0.2498,0.6495,0.6482,0.3566,0.8446,0.269,0.3151,0.4012,0.3225,0.2515,0.2364,0.5461,0.7556,0.6102,0.5604,0.4097,0.4406,0.3614,0.525,0.1954,0.499,0.5752,0.3999,0.2718,0.411,0.6559,0.6737,0.335,0.6608,0.2743,0.6204,0.4594,0.4738,0.2305,0.5532,0.4183,0.4857,0.3182,0.3465,0.3589,0.3089,0.4963,0.7004,0.3363,0.5761,0.3916,0.3021,0.666,0.3804,0.6582,0.2209,0.205,0.151,0.4612,0.5164,0.5828,0.3048,0.3212,0.2995,0.5241,0.4577,0.2945,0.6896,0.2857,0.7231,0.3868,0.5659,0.2526,0.1377,0.2855,0.3878,0.6063,0.4287,1.0938,0.3566,0.211,0.5694,0.4611,0.239,0.7247,0.4281,0.6429,0.3006,0.4371,0.2252,0.7335,0.4471,0.7172,0.2089,0.3555,0.5911,0.2349]","[-0.2578,-0.44808,-0.1859,0.60333,-0.37787,1.4767,0.0]",normal
28144073-b180-4dfb-a34e-a7afeb6c1a13,122.79,"[1.5179,1.1952,0.7139,1.2555,0.5167,1.2332,0.736,1.4452,0.8705,1.4341,1.3398,1.379,1.309,1.138,1.0535,1.1625,1.2726,1.2218,0.9918,1.1693,1.3164,0.9154,1.2912,0.8047,0.9405,0.9768,1.1905,0.9142,1.3995,1.5265,1.3699,1.2698,1.3085,1.4253,0.7484,0.8889,1.2877,1.0234,1.5687,1.3758,1.3269,1.2645,1.5048,0.6579,1.0768,1.057,1.4579,1.442,1.5008,1.1422,1.291,1.2313,1.342,1.3871,1.1575,1.7216,1.1033,1.4076,1.3504,0.5911,1.2032,1.3257,1.3958,1.2806,0.8171,1.2389,1.2192,1.2102,0.885,1.3332,1.3343,1.4189,1.2458,1.3152,0.9575,0.5403,1.0881,1.3796,1.522,1.0883,1.3153,0.4824,1.589,1.4736,1.6109,1.4785,1.6781,1.4008,1.3854,1.6262,1.4525,1.6274,1.4886,1.3649,1.4189,1.2964,1.2354,1.003,1.0922,1.4641]","[1.26,-0.15612,-0.050653,1.0451,0.50694,0.89778,0.0]",normal
283261cc-38d8-4440-951d-cf238ab1de13,42.12,"[0.5557,0.2511,0.3842,0.253,0.2317,0.4647,0.3801,0.2069,0.4898,0.2844,0.5356,0.6185,0.3015,0.5386,0.2057,0.4688,0.4306,0.302,0.2206,0.3708,0.4444,0.4295,0.4538,0.6326,0.4245,0.3147,0.3084,0.3874,0.458,0.299,0.4891,0.4515,0.538,0.6821,0.4694,0.4908,0.6375,0.3334,0.4608,0.4225,0.2176,0.2628,0.2561,0.368,0.3973,0.215,0.3598,0.4282,0.3512,0.2682,0.6247,0.3671,0.4001,0.7207,0.376,0.2447,0.6216,0.4978,0.4339,0.5865,0.557,0.2827,0.4742,0.3908,0.4441,0.5842,0.5971,0.2447,0.495,0.443,0.2508,0.3474,0.4859,0.3934,0.4883,0.3261,0.2329,0.2698,0.3956,0.6161,0.5052,0.2448,0.5005,0.408,0.5269,0.339,0.4226,0.3985,0.5226,0.385,0.4814,0.5446,0.5044,0.465,0.661,0.5075,0.4358,0.5319,0.5309,0.262]","[0.17412,0.056213,-0.27606,0.88139,-0.37787,1.2634,0.0]",normal
2f44a889-4cb4-4a3e-af17-fc8fd6910959,41.52,"[0.2282,0.479,0.4868,0.337,0.2256,0.2323,0.1322,0.1909,0.3103,0.5037,0.266,0.5099,0.6411,0.2918,0.5219,0.5343,0.2598,0.5028,0.5982,0.2118,0.5665,0.6981,0.6682,0.5176,0.3497,0.237,0.4208,0.2889,0.5251,0.1963,0.5801,0.5236,0.4699,0.2866,0.3796,0.4941,0.4712,0.7807,0.3206,0.1877,0.3609,0.3706,0.3853,0.6078,0.5258,0.1154,0.2948,0.488,0.3314,0.4453,0.2255,0.4096,0.2127,0.3881,0.539,0.3529,0.2478,0.7034,0.4402,0.4848,0.3676,0.3686,0.3974,0.5532,0.433,0.4029,0.6384,0.5792,0.1977,0.5541,0.3189,0.5307,0.3825,0.3217,0.348,0.5519,0.4083,0.3375,0.4583,0.4068,0.3261,0.2562,0.3229,0.4045,0.3287,0.3476,0.5512,0.5694,0.5567,0.5205,0.5031,0.2801,0.5853,0.2954,0.5359,0.6062,0.2481,0.6934,0.4338,0.247]","[-0.36943,-0.43038,-0.050653,0.5316,-0.37787,1.0349,0.0]",normal
